File Type,Files Deleted,Files Created,Files Written,Directories Created,Opened REG keys,DLLs Loaded,Hosts,VirusTotal
2,0,0,0,0,1,16,3,59
5,0,5,4,1,2,12,3,41
1,0,0,0,0,29,24,3,55
3,0,0,0,0,2,7,4,40
5,0,2,1,0,1,8,3,64
6,0,0,0,0,17,10,0,0
6,0,0,0,0,0,8,0,0
6,0,0,0,0,8,6,0,0
6,0,6,4,8,291,21,0,0
3,0,0,0,0,2,7,3,42
6,5,38,36,15,280,19,0,0
6,0,0,0,0,0,2,0,0
6,1,11,13,3,52,67,0,0
3,0,0,0,0,2,7,3,53
6,2,8,6,8,283,32,0,0
6,0,0,0,0,1,0,0,0
1,0,1,0,2,272,13,4,50
6,0,0,0,0,4,5,0,0
1,0,1,0,2,272,13,3,52
6,0,0,0,0,0,0,0,0
0,0,3,3,0,9,16,3,55
3,0,0,0,0,2,7,3,42
0,0,0,0,0,1,4,3,59
6,0,0,0,1,34,10,0,0
6,0,0,0,1,30,7,0,0
6,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
5,0,5,4,1,2,12,4,60
6,0,2,2,7,58,20,0,0
6,2,2,2,1,3,21,0,0
3,0,0,0,0,2,7,3,43
6,0,0,0,0,25,28,0,0
3,0,0,0,0,2,7,4,40
6,0,49,51,28,228,70,0,0
2,0,0,1,1,9,24,4,55
2,0,1,1,0,11,5,4,57
6,0,2,2,3,251,17,0,0
6,0,2,2,7,21,9,0,0
6,0,0,0,0,22,6,0,0
6,0,0,0,0,9,5,0,0
3,0,0,0,0,2,7,3,42
6,0,0,0,0,4,5,0,0
6,0,0,0,0,0,1,0,0
6,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,4,39
6,0,0,0,1,186,16,0,0
4,0,0,0,0,1,0,1,38
6,0,0,0,0,8,3,0,0
3,0,0,0,0,2,7,4,42
6,2,7,5,8,302,25,0,0
6,2,8,7,12,305,21,0,0
1,0,1,0,2,272,13,3,53
6,0,0,0,0,0,0,0,0
6,0,2,0,2,87,28,0,0
5,0,5,4,1,2,12,3,48
0,0,0,0,0,1,13,3,55
3,0,0,0,0,2,7,3,41
6,8,6,7,15,317,74,0,0
6,1,1,1,5,1,12,0,0
6,0,0,0,0,8,6,0,0
6,0,0,0,0,11,7,0,0
1,0,1,0,2,272,13,3,52
2,1,3,2,1,83,49,3,44
6,0,1,1,1,30,23,0,0
1,0,1,0,2,272,13,3,55
1,26,8,9,1,566,8,2,57
6,0,2,2,3,43,18,0,0
6,302,4,3,0,9,0,0,0
6,0,0,0,1,34,10,0,0
0,0,0,0,0,4,15,3,53
5,0,5,4,1,2,8,3,48
2,0,0,0,0,2,20,3,61
5,0,5,4,1,2,12,4,41
2,0,1,1,0,23,18,5,55
5,0,2,1,0,1,8,3,0
6,0,0,0,0,1,3,0,0
0,0,0,0,0,5,17,3,54
6,4,8,7,13,16,12,0,0
5,0,5,4,1,2,12,3,39
